term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
of,0.016471494,0.20913868,0.044026457,0.1728916,-0.43203807,0.3700002,0.05388454,0.25492743,-0.13705441,-0.048500217,-0.10473712,0.037472054,-0.008590035,0.124479055,-0.13178676,0.1883326,0.10515939,-0.21935967,-0.09783121,0.26033607,0.013608172,-0.24983832,-0.06699554,0.30895674,0.28774154,-0.081445426,0.016945707,0.07143093,-0.17653967,-0.24106094,-0.022537142,-0.28697667,-0.09734561,-0.025259046,0.017752498,-0.014567644,0.28596014,-0.03505206,0.13207549,0.08171195,-0.02679912,0.039350063,0.29596287,-0.035594337,-0.08329446,-0.011863197,-0.03807999,0.07891826,0.06424981,0.020730317,0.10580201,-0.40698874,-0.23367979,0.14187363,0.006999907,-0.14342386,0.013501981,0.1636174,0.018865839,0.07574426,0.10606354,-0.11470022,-0.36367497,0.12584127,0.06316017,-0.121700905,0.12751023,0.05232577,-0.33109018,-0.06576027,0.120368674,-0.1672462,-0.16395739,-0.18012674,0.09855106,-0.16782199,0.047383808,0.0662955,-0.16644625,-0.15321046,0.016414518,0.24680267,-0.10258277,0.029234575,-0.24343812,-0.016853401,-0.273502,-0.117868155,0.050735634,0.007284232,-0.20592766,0.14552084,0.18291137,0.0302852,-0.01995791,-0.027532302,0.086036086,0.10360262,-0.059362672,-0.105352595
and,-0.0716758,0.14498681,-0.00767027,0.057105232,-0.38184842,0.25646806,-0.072059184,0.26138642,-0.16461669,-0.09461142,-0.110137284,-0.061870504,0.095383495,0.11089418,-0.259394,0.039328482,0.16826488,-0.15177253,-0.13404067,0.16722982,0.075326666,-0.18663853,-0.09114894,0.22683936,0.16020694,0.06652107,-0.08382986,0.14160527,-0.17481992,-0.19155653,-0.09785191,-0.14773007,-0.09252918,-0.008685901,0.016632967,0.05801571,0.18597464,-0.081444696,0.011381608,0.0577002,0.0029656412,-0.022968974,0.2864564,-0.018166484,-0.103940226,0.13316256,0.042598877,0.0681944,-0.00357985,0.1602511,-0.08631333,-0.36673492,-0.20205536,0.07178511,0.06453713,-0.102292694,-0.003376157,0.15402316,-0.13679574,0.1100017,-0.029756645,-0.08848786,-0.31892854,0.10366377,0.02146838,0.03619006,-0.029116243,-0.04385981,-0.29820108,-0.00901033,0.033956733,-0.14910287,-0.12801045,-0.0757094,-0.04728331,-0.19117233,0.0072779725,0.0065516145,-0.15362145,-0.30667216,-0.07917707,0.2156394,-0.062694155,0.10685123,-0.24263288,-0.019102106,-0.20037378,-0.18034148,-0.019387787,0.041762203,-0.15952127,0.15724844,0.10448856,-0.056862775,0.033093717,-0.011673531,0.023344442,0.038823448,0.0073095276,-0.072596185
we,0.13342325,-0.06886562,0.19429107,0.01620536,-0.21222351,0.35513926,0.11018026,0.3527939,-0.3226425,-0.16393705,-0.048214827,-0.07003417,0.15271412,0.36760184,-0.1885865,-0.27562842,-0.08336036,-0.2615815,-0.24990954,0.11205447,0.18088055,-0.22186302,0.14282916,0.20207307,0.03042252,0.1410137,-0.18059182,0.16862248,-0.20305903,-0.056810386,0.09262459,-0.0786673,-0.18550347,0.11417168,0.15109032,0.052933067,-0.18076839,-0.22294712,-0.110036,-0.17233224,0.1799948,-0.08038664,0.25042313,-0.07929839,0.234116,0.26140413,0.09904126,-0.017938044,0.15637212,0.03037598,-0.21086515,-0.32063314,-0.11367111,0.133031,0.12294275,-0.27890164,-0.30513996,-0.020383615,-0.1458343,0.20148948,-0.14939913,-0.14761889,-0.27477443,0.1280435,0.18859246,0.007856397,-0.06347012,-0.12694997,0.017427709,-0.2365188,-0.2523848,-0.25110444,-0.09966578,-0.04247672,0.053222347,-0.057559922,0.08067239,-0.0833398,-0.2754028,-0.18459478,0.051893104,0.22616291,-0.06877021,0.26659283,-0.1698255,0.003497112,-0.2934791,-0.4669929,-0.11734016,0.121030875,-0.013198312,0.2357321,0.08279186,-0.19690356,0.18878807,-0.048025575,-0.019419752,-0.09297154,0.046664197,-0.116171315
do,0.22949974,-0.0024608138,-0.026715554,0.23623322,0.08109394,0.072335616,0.054444976,-0.06827812,-0.3594294,0.09892542,-0.28415874,-0.0033285485,0.21748553,0.3770646,-0.10060362,-0.21397911,-0.050943974,-0.26915333,-0.44370714,0.20843351,-0.06333637,-0.22596812,0.029896919,0.20745109,0.2077637,-0.07606675,0.033337153,0.029061127,-0.04966901,-0.14238869,-0.08213629,-0.00041810083,-0.25808242,0.03740585,0.076908536,0.23237817,-0.0103095,-0.19696572,-0.001596853,0.0673793,0.16833459,-0.26892018,0.17881964,0.08209684,0.038094167,0.27528837,0.0026337942,0.13397504,0.18784149,-0.09994492,-0.081332006,-0.37876517,0.095356174,0.18449275,0.15139928,-0.1773055,-0.2978527,-0.12866555,-0.27070403,0.020312186,-0.13546239,-0.3525189,-0.47034857,-0.17663161,0.037424855,-0.03737543,0.057807352,-0.2417887,0.22548512,-0.014450066,-0.053799506,-0.26469764,-0.35214877,-0.016963247,-0.004353541,0.010634323,0.13518393,0.1300819,-0.11169975,-0.19115146,0.14284508,-0.10556777,-0.0028797074,0.19699927,-0.22233796,0.23477048,-0.20837703,-0.3802116,-0.065821216,0.010620804,-0.078626,0.10952735,0.24011248,-0.037384275,0.04943159,0.1687114,0.19125351,-0.06665078,-0.18262474,-0.114713475
this,-0.044811375,-0.0042738286,-0.0003904712,0.0046519064,-0.17762841,0.03212961,-0.020275759,0.17238915,-0.21311228,-0.017054453,-0.16333868,-0.06945927,0.18493554,0.25966594,0.0073081683,0.009013772,-0.021830114,-0.14145835,-0.15493843,0.13067831,0.06268495,0.038660176,-0.041878816,0.11199111,0.27557936,0.017183647,-0.06490167,0.06910927,-0.15460324,-0.029298227,-0.085824944,-0.26367116,-0.10511234,0.051378954,0.004112412,0.026564466,-0.037545267,-0.23704101,0.12307048,0.15517135,0.020862198,0.03963024,0.30771533,-0.14577232,-0.005538901,-0.1303949,0.11459911,0.045769274,0.27938607,-0.080959156,-0.029055944,-0.43712404,-0.14025949,0.024407681,0.10332754,-0.21619257,0.1025833,0.046627454,-0.061024275,0.25289854,0.03760338,-0.212374,-0.4162493,-0.0032393113,0.19810662,0.0007090515,0.13122405,0.016448386,0.035504647,-0.14667188,0.13570215,-0.14840934,-0.2219776,-0.15446031,0.18631907,-0.21440214,0.14547668,-0.0727436,-0.28626293,-0.1427761,-0.07092627,-0.09296031,-0.06901882,-0.072725095,-0.29561234,0.121046126,-0.2710162,-0.386379,-0.07072456,0.12908451,-0.056082804,0.18333761,0.0024290883,0.012991632,-0.062268544,0.014477028,0.079721905,0.0002127429,-0.049663153,-0.035996895
what,0.011372346,-0.005110189,-0.07474665,0.14570221,0.0029024694,-0.02594448,0.10145171,-0.10298207,-0.08861153,0.16923647,-0.16005124,-0.04204189,0.12639147,0.25815648,-0.1628389,-0.11300097,0.14785478,-0.18304528,-0.19279377,0.024141293,0.23488674,0.06570633,-0.09528298,0.19806552,0.30866215,-0.14018154,-0.09305827,-0.11618758,-0.25837493,0.21792333,-0.031152949,-0.25818634,-0.03143828,0.04220258,0.03855155,0.2721677,-0.042316027,-0.31042585,0.18837143,0.025917942,0.1414506,-0.051787402,0.30521986,0.07369641,0.012867992,0.041493706,-0.062325153,0.13551332,0.38422397,-0.2690203,-0.006317911,-0.35440445,0.11966607,0.04939005,0.1374718,-0.079617776,-0.053135645,0.018866256,0.17438701,0.23298207,-0.057597343,-0.36248884,-0.27187124,-0.24456942,0.23339134,0.08552996,0.05786187,-0.11334525,0.20356552,-0.026322633,-0.15238252,-0.20243622,-0.36807913,-0.10205485,0.072659194,-0.02736965,0.10203291,0.078743026,-0.29518577,-0.0943677,-0.098839626,-0.17431267,-0.12279356,0.0009552124,-0.24909356,0.140732,-0.33834618,-0.4745034,-0.24953923,0.05469086,0.055117127,-0.067172,-0.024258101,-0.15186138,0.066531114,0.035048034,0.16189817,-0.050917238,-0.07921132,-0.039981075
in,-0.0025946004,0.15882334,0.03011518,0.07677036,-0.36210015,0.3173961,-0.038665604,0.26550123,-0.11451495,0.033786148,-0.03451015,-0.024525642,0.022657044,0.09325829,-0.15002804,-0.002345859,0.17218266,-0.19611055,-0.07125063,0.2239528,0.11258375,-0.1509596,-0.0739349,0.25491616,0.20979835,0.020445712,-0.0048563355,0.082698576,-0.17941365,-0.2025227,-0.048182555,-0.23535545,-0.13383743,-0.010466491,-0.024019647,0.10071963,0.22743493,-0.07897952,0.10263842,0.03860058,-0.037985004,0.006002968,0.24570188,-0.0137099475,-0.12541126,0.07831237,0.0045219557,0.048181865,0.118659936,0.060946845,-0.0054256315,-0.30674362,-0.1938493,0.06377392,0.048190705,-0.15337001,0.008494907,0.117471054,0.021152066,0.12468437,0.022179924,-0.10950272,-0.3330278,0.07860057,0.07845414,0.021378193,-0.064494066,0.061026137,-0.24648964,-0.038443472,0.075923085,-0.13466413,-0.12610158,-0.15925932,0.06733788,-0.09186964,0.016705249,0.0495196,-0.14683071,-0.24243845,-0.11272069,0.18162921,-0.13910621,0.07105873,-0.27105647,-0.08804581,-0.2324915,-0.20814438,-0.063512795,0.03953048,-0.1723052,0.11534228,0.17131832,-0.024565967,0.0076466026,-0.040296853,0.06855256,-0.0064746393,-0.058533553,-0.13699663
be,-0.06876754,-0.0014602226,0.05919143,-0.12564754,-0.093935035,0.25667417,0.030668186,0.24070005,-0.27329397,-0.00506079,-0.25726858,0.022042505,0.25807923,0.29953912,-0.16945025,0.010418076,0.082921974,-0.22628944,-0.36212206,0.15453224,-0.0020609791,-0.14600356,0.044295054,0.1473769,0.2681828,-0.010767932,-0.04195474,0.15288511,-0.11063853,-0.19207333,0.003239591,-0.028072288,-0.24275625,0.07842993,0.1509471,0.21053283,-0.0980673,-0.21029536,-0.048540894,-0.028985884,0.02222582,-0.041473567,0.15526491,-0.07403699,-0.037201338,0.18635994,0.07773017,-0.08197851,0.21028459,0.20313513,-0.050358158,-0.2961972,-0.048691783,0.0060216677,0.113876656,-0.13098729,-0.14368992,-0.045693748,-0.20455648,0.13323283,-0.14880842,-0.20571345,-0.24354602,0.040075213,0.12004087,0.18114994,0.017500473,-0.09275209,-0.10831631,-0.12149186,-0.0886575,-0.15608844,-0.23268905,-0.15580975,-0.0023649368,-0.23878965,0.11070201,-0.02535502,-0.1686992,-0.18160637,-0.12965411,-0.03320799,-0.15201856,0.26377997,-0.10278838,0.06910258,-0.3805748,-0.23157442,-0.024550565,0.17673092,0.017027045,0.14815655,0.090446174,-0.16728382,0.12992147,-0.13786133,0.06775813,-0.13727179,0.0005584592,-0.109150335
me,-0.1175978,0.0023058385,-0.074819036,-0.0056966655,-0.13284852,-0.043216247,-0.21642601,-0.040415335,-0.12926292,0.3073568,-0.28962296,0.007344233,0.24244785,0.1361233,-0.2607509,-0.057329416,0.065953225,-0.18691038,-0.28273842,0.007507224,0.05881636,-0.052618492,-0.23173966,0.1568182,0.36930886,0.09672332,-0.2541158,0.032444768,-0.033146534,0.042440798,-0.16468315,-0.042983674,-0.22492976,0.040645182,-0.12511934,0.17026052,0.113277465,-0.121337354,0.04307504,0.009146487,-0.060346898,-0.2552915,0.034149043,0.115424655,-0.026615962,0.2126903,0.04900997,-0.023442106,0.1284086,-0.12270056,-0.011117432,-0.28851497,-0.14693384,0.0073738974,-0.03842737,0.056828752,-0.2586057,-0.17415887,-0.15478715,0.1267747,-0.1588483,-0.22055168,-0.29796553,-0.11456378,0.11588817,0.16411635,-0.13462909,-0.18445423,-0.1478442,0.0039045294,-0.12968965,-0.14435461,-0.31000677,0.11358173,-0.17432536,-0.23442322,0.06649624,0.03509677,-0.06783078,-0.36000997,-0.13698395,-0.2691501,-0.09511566,0.28071377,-0.17319041,0.2395979,-0.07395975,-0.23754586,-0.29577318,0.07819353,-0.13832456,0.046562172,0.26667428,-0.23068434,-0.041764643,0.05288601,0.078947216,0.134272,-0.10618572,-0.2647261
for,0.055346143,0.087238446,0.086394995,-0.026749443,-0.2129547,0.14193419,-0.061080746,0.12895,-0.15433708,0.09942958,-0.14975332,0.022903286,0.062000614,0.11103201,-0.25898468,-0.09399652,0.1493725,-0.20457259,-0.221061,0.12955333,0.12745841,-0.019471366,-0.094673604,0.18534073,0.23635097,-0.039411485,-0.12208405,0.119271755,-0.20953216,-0.1963941,-0.11206892,-0.09460594,-0.0039204904,0.03697229,-0.10286028,0.17118962,0.09895201,-0.120541036,0.08899599,0.06645943,-0.09551614,-0.02826851,0.20354505,0.0046100286,-0.04899414,0.033834092,0.07655366,0.110356845,0.088066794,0.00092293794,-0.003923696,-0.32659823,-0.11626546,0.01861526,0.12759003,-0.081385635,-0.05673674,-0.05495887,-0.052268114,0.12069777,-0.03679554,-0.042527575,-0.36330128,0.060499553,0.035267897,0.13268124,-0.08996355,0.0775043,-0.1275163,-0.034341134,0.07273791,-0.09499883,-0.09587853,-0.09876114,0.067875236,-0.14413677,0.10647218,0.061005678,-0.16089837,-0.22903647,-0.06854336,-0.012201125,-0.14754608,0.08999031,-0.30469593,-0.0011154594,-0.14880484,-0.29535306,-0.09013588,0.080980934,-0.2272029,0.08014017,0.09734976,-0.13639595,0.016992688,-0.08108763,0.055237766,0.07191771,-0.017786888,-0.17451109
