term_str,n,p,i,n_chars,porter_stem,stop,max_pos,max_pos_group
smashed,3,2.984896424094084e-05,15.031959603596103,7,smash,False,VBD,v
smashes,1,9.94965474698028e-06,16.616922104317258,7,smash,False,VBZ,v
smell,18,0.00017909378544564504,12.446997102874947,5,smell,False,NN,n
smells,7,6.964758322886195e-05,13.809567182259656,6,smell,False,VBZ,v
smelly,1,9.94965474698028e-06,16.616922104317258,6,smelli,False,RB,r
smile,10,9.949654746980279e-05,13.294994009429898,5,smile,False,NN,n
smiles,6,5.969792848188168e-05,14.031959603596103,6,smile,False,VBZ,v
smiling,4,3.979861898792112e-05,14.61692210431726,7,smile,False,VBG,v
smoggy,1,9.94965474698028e-06,16.616922104317258,6,smoggi,False,JJ,j
smoke,9,8.954689272282252e-05,13.446997102874947,5,smoke,False,NN,n
smoking,1,9.94965474698028e-06,16.616922104317258,7,smoke,False,NN,n
smoky,1,9.94965474698028e-06,16.616922104317258,5,smoki,False,JJ,j
smooth,2,1.989930949396056e-05,15.61692210431726,6,smooth,False,JJ,j
smoothly,3,2.984896424094084e-05,15.031959603596103,8,smoothli,False,RB,r
smother,1,9.94965474698028e-06,16.616922104317258,7,smother,False,VB,v
smothered,1,9.94965474698028e-06,16.616922104317258,9,smother,False,VBD,v
smugglers,1,9.94965474698028e-06,16.616922104317258,9,smuggler,False,NNS,n
snack,3,2.984896424094084e-05,15.031959603596103,5,snack,False,NN,n
snake,2,1.989930949396056e-05,15.61692210431726,5,snake,False,NN,n
snakelike,1,9.94965474698028e-06,16.616922104317258,9,snakelik,False,JJ,j
snakes,1,9.94965474698028e-06,16.616922104317258,6,snake,False,NNS,n
snaking,1,9.94965474698028e-06,16.616922104317258,7,snake,False,VBG,v
snapped,3,2.984896424094084e-05,15.031959603596103,7,snap,False,VBD,v
snaps,2,1.989930949396056e-05,15.61692210431726,5,snap,False,VBZ,v
snare,1,9.94965474698028e-06,16.616922104317258,5,snare,False,NN,n
sneak,1,9.94965474698028e-06,16.616922104317258,5,sneak,False,VBP,v
sneaked,1,9.94965474698028e-06,16.616922104317258,7,sneak,False,VBN,v
sneaky,1,9.94965474698028e-06,16.616922104317258,6,sneaki,False,JJ,j
sniff,1,9.94965474698028e-06,16.616922104317258,5,sniff,False,NNP,n
sniffs,3,2.984896424094084e-05,15.031959603596103,6,sniff,False,NNS,n
snob,3,2.984896424094084e-05,15.031959603596103,4,snob,False,NN,n
snorting,1,9.94965474698028e-06,16.616922104317258,8,snort,False,VBG,v
snow,7,6.964758322886195e-05,13.809567182259656,4,snow,False,NN,n
snuck,1,9.94965474698028e-06,16.616922104317258,5,snuck,False,NNP,n
snuggles,1,9.94965474698028e-06,16.616922104317258,8,snuggl,False,VBZ,v
so,478,0.0047559349690565736,7.716055296336511,2,so,True,RB,r
soak,5,4.9748273734901396e-05,14.294994009429898,4,soak,False,NN,n
soaking,5,4.9748273734901396e-05,14.294994009429898,7,soak,False,VBG,v
sobs,1,9.94965474698028e-06,16.616922104317258,4,sob,False,NN,n
socks,3,2.984896424094084e-05,15.031959603596103,5,sock,False,NNS,n
sodom,1,9.94965474698028e-06,16.616922104317258,5,sodom,False,NNP,n
soft,3,2.984896424094084e-05,15.031959603596103,4,soft,False,JJ,j
soil,4,3.979861898792112e-05,14.61692210431726,4,soil,False,NN,n
sokai,1,9.94965474698028e-06,16.616922104317258,5,sokai,False,NNP,n
sold,5,4.9748273734901396e-05,14.294994009429898,4,sold,False,VBD,v
soldier,4,3.979861898792112e-05,14.61692210431726,7,soldier,False,NN,n
soldiers,5,4.9748273734901396e-05,14.294994009429898,8,soldier,False,NNS,n
solemn,1,9.94965474698028e-06,16.616922104317258,6,solemn,False,JJ,j
solid,1,9.94965474698028e-06,16.616922104317258,5,solid,False,JJ,j
soloed,1,9.94965474698028e-06,16.616922104317258,6,solo,False,VBP,v
solution,4,3.979861898792112e-05,14.61692210431726,8,solut,False,NN,n
solve,2,1.989930949396056e-05,15.61692210431726,5,solv,False,VB,v
some,135,0.0013432033908423377,9.540106507266428,4,some,True,DT,x
somebody,8,7.959723797584224e-05,13.61692210431726,8,somebodi,False,NN,n
someday,4,3.979861898792112e-05,14.61692210431726,7,someday,False,JJ,j
somehow,17,0.00016914413069866476,12.52945926306692,7,somehow,False,RB,r
someone,45,0.0004477344636141126,11.125069007987584,7,someon,False,NN,n
someplace,3,2.984896424094084e-05,15.031959603596103,9,someplac,False,NN,n
something,125,0.001243706843372535,9.651137819655172,9,someth,False,NN,n
sometime,2,1.989930949396056e-05,15.61692210431726,8,sometim,False,RB,r
sometimes,10,9.949654746980279e-05,13.294994009429898,9,sometim,False,RB,r
somewhere,17,0.00016914413069866476,12.52945926306692,9,somewher,False,RB,r
son,9,8.954689272282252e-05,13.446997102874947,3,son,False,NN,n
song,17,0.00016914413069866476,12.52945926306692,4,song,False,NN,n
sons,4,3.979861898792112e-05,14.61692210431726,4,son,False,NNS,n
soon,76,0.0007561737607705012,10.368994590873674,4,soon,False,RB,r
sooner,6,5.969792848188168e-05,14.031959603596103,6,sooner,False,NN,n
soot,10,9.949654746980279e-05,13.294994009429898,4,soot,False,NN,n
sootball,2,1.989930949396056e-05,15.61692210431726,8,sootbal,False,NN,n
sootballs,5,4.9748273734901396e-05,14.294994009429898,9,sootbal,False,NNS,n
soothe,1,9.94965474698028e-06,16.616922104317258,6,sooth,False,VB,v
sophia,1,9.94965474698028e-06,16.616922104317258,6,sophia,False,NNP,n
sophie,72,0.0007163751417825801,10.446997102874947,6,sophi,False,NNP,n
sorcerer,2,1.989930949396056e-05,15.61692210431726,8,sorcer,False,NN,n
sorceress,1,9.94965474698028e-06,16.616922104317258,9,sorceress,False,NN,n
sorcery,2,1.989930949396056e-05,15.61692210431726,7,sorceri,False,NN,n
sorrow,3,2.984896424094084e-05,15.031959603596103,6,sorrow,False,NN,n
sorrowful,1,9.94965474698028e-06,16.616922104317258,9,sorrow,False,JJ,j
sorry,104,0.001034764093685949,9.916482386176167,5,sorri,False,JJ,j
sort,5,4.9748273734901396e-05,14.294994009429898,4,sort,False,NN,n
sorts,1,9.94965474698028e-06,16.616922104317258,5,sort,False,NNS,n
souchan,12,0.00011939585696376336,13.031959603596103,7,souchan,False,NNP,n
soul,3,2.984896424094084e-05,15.031959603596103,4,soul,False,NN,n
sound,17,0.00016914413069866476,12.52945926306692,5,sound,False,NN,n
sounded,1,9.94965474698028e-06,16.616922104317258,7,sound,False,VBD,v
sounds,13,0.00012934551171074363,12.916482386176167,6,sound,False,VBZ,v
soup,3,2.984896424094084e-05,15.031959603596103,4,soup,False,NN,n
souplike,1,9.94965474698028e-06,16.616922104317258,8,souplik,False,JJ,j
source,1,9.94965474698028e-06,16.616922104317258,6,sourc,False,NN,n
sousuke,60,0.0005969792848188168,10.71003150870874,7,sousuk,False,NNP,n
sousukechan,2,1.989930949396056e-05,15.61692210431726,11,sousukechan,False,NNP,n
sousukekun,4,3.979861898792112e-05,14.61692210431726,10,sousukekun,False,NNP,n
sousukesan,3,2.984896424094084e-05,15.031959603596103,10,sousukesan,False,JJ,j
south,3,2.984896424094084e-05,15.031959603596103,5,south,False,NN,n
southaven,1,9.94965474698028e-06,16.616922104317258,9,southaven,False,NNP,n
southern,1,9.94965474698028e-06,16.616922104317258,8,southern,False,JJ,j
soy,1,9.94965474698028e-06,16.616922104317258,3,soy,False,JJ,j
soybean,2,1.989930949396056e-05,15.61692210431726,7,soybean,False,JJ,j
soybeans,1,9.94965474698028e-06,16.616922104317258,8,soybean,False,NNS,n
