film_name,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
castle_in_the_sky,0.021068702290076336,0.018931297709923665,0.009465648854961832,0.016641221374045802,0.01801526717557252,0.016641221374045802,0.010534351145038168,0.021068702290076336,-0.011145038167938931
grave_of_the_fireflies,0.013145539906103286,0.02112676056338028,0.009859154929577466,0.020892018779342724,0.01948356807511737,0.021830985915492956,0.013380281690140845,0.022300469483568074,-0.005633802816901409
howls_moving_castle,0.035743110803643494,0.016026749682924016,0.03758791652254122,0.03216879972327914,0.018332756831546178,0.0287097890003459,0.022137668626772744,0.022598870056497175,-0.022252968984203852
kikis_delivery_service,0.01014786894752102,0.019425920556683098,0.009133082052768918,0.012612351406204697,0.021745433458973614,0.014786894752102058,0.012757320962597855,0.016671498985213105,0.004204117135401566
my_neighbor_totoro,0.005890603085553997,0.0241234221598878,0.008134642356241234,0.010659186535764377,0.02720897615708275,0.027489481065918652,0.013744740532959326,0.028892005610098175,0.0016830294530154279
nausicaa,0.02051639916259595,0.016189811584089324,0.013817166782972784,0.026099092812281927,0.016050244242847175,0.022051639916259594,0.009490579204466155,0.023866015352407538,-0.012142358688066993
only_yesterday,0.007243405767391007,0.012710127101271012,0.005056717233839005,0.006560065600656006,0.01872352056853902,0.00984009840098401,0.009156758234249008,0.016126827934946016,0.006013393467268006
pom_poko,0.014004481434058899,0.021927016645326505,0.009042893725992318,0.023367477592829707,0.022327144686299615,0.017685659411011523,0.015524967989756722,0.02640845070422535,0.0016805377720870679
ponyo,0.012031719989062073,0.02242275088870659,0.008750341810226962,0.01285206453377085,0.02652447361225048,0.01613344271260596,0.015586546349466776,0.021055509980858627,0.004922067268252666
porco_rosso,0.020135214579659024,0.020429159318048208,0.020282186948853614,0.024397413286302176,0.023515579071134628,0.017783656672545563,0.01455026455026455,0.021604938271604937,-0.010435038212815991
princess_kaguya,0.0088008800880088,0.019801980198019802,0.007386452931007387,0.010686782964010686,0.029545811724029546,0.014772905862014773,0.011944051548011944,0.02593116454502593,0.017287443030017287
princess_mononoke,0.020524380116265274,0.01625341084351643,0.014829754419266816,0.03108316526278325,0.014829754419266816,0.02882904259105469,0.009372404792976628,0.018270257444536718,-0.01933799976272393
spirited_away,0.009471393830794829,0.01638295149110457,0.014847049788813516,0.013823115320619481,0.016254959682580315,0.017918853193395624,0.010623320107513119,0.026622296173044926,0.0019198771278638167
the_wind_rises,0.008158508158508158,0.019813519813519812,0.006493506493506494,0.013986013986013986,0.026973026973026972,0.014818514818514818,0.014152514152514152,0.023643023643023644,0.013486513486513486
